Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,glassdoor est,min_salary,max_salary,avg_salary,Age,Job,Seniority,Python,R,SQL,AWS,Excel,GCP,Azure,Spark,PyTorch,TensorFlow,Tableau,Keras
3.8,Tecolote Research, NM, CA,501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),1,1,53,91,72,47,data scientist,Not Specified,1,0,0,0,1,0,0,0,0,0,1,0
3.4,University of Maryland Medical System, MD, MD,10000+ employees,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),1,1,63,112,87,36,data scientist,Not Specified,1,0,0,0,0,0,0,0,0,1,0,0
4.8,KnowBe4, FL, FL,501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),1,1,80,90,85,10,data scientist,Not Specified,1,0,1,0,1,0,0,1,0,1,0,0
3.8,PNNL, WA, WA,1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),3,1,56,97,76,55,data scientist,Not Specified,1,0,0,0,0,0,0,0,0,0,0,0
2.9,Affinity Solutions, NY, NY,51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,3,1,86,143,114,22,data scientist,Not Specified,1,0,1,0,1,0,0,0,0,0,0,0
3.4,CyrusOne, TX, TX,201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),3,1,71,119,95,20,data scientist,Not Specified,1,0,1,1,1,0,1,0,0,0,0,0
4.1,ClearOne Advantage, MD, MD,501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,1,1,54,93,73,12,data scientist,Not Specified,0,0,0,0,1,0,0,0,0,0,0,0
3.8,Logic20/20, CA, WA,201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),1,1,86,142,114,15,data scientist,Not Specified,1,0,1,1,1,0,0,1,1,1,0,0
3.3,Rochester Regional Health, NY, NY,10000+ employees,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),1,1,38,84,61,6,data science related jobs,Not Specified,0,0,0,0,0,0,0,0,0,0,0,0
4.6,<intent>, NY, NY,51 to 200 employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),2,1,120,160,140,11,data scientist,Not Specified,1,0,0,0,0,0,0,1,0,1,0,0
3.5,Wish, CA, CA,501 to 1000 employees,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),1,1,126,201,163,9,data scientist,Not Specified,1,0,0,0,0,0,0,0,0,1,0,0
4.1,ManTech, VA, VA,5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),1,1,64,106,85,52,data scientist,Not Specified,0,0,1,0,0,0,0,0,0,0,0,0
3.2,Walmart, TX, AR,10000+ employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),3,1,106,172,139,58,data scientist,Not Specified,0,0,1,0,0,0,0,0,0,0,0,0
4.1,Yesler, WA, WA,201 to 500 employees,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,1,1,46,85,65,8,analyst,Not Specified,1,0,1,1,1,0,1,1,0,1,1,0
3.7,Takeda Pharmaceuticals, MA, Japan,10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),3,1,83,144,113,239,data scientist,Not Specified,1,0,1,0,0,0,0,1,0,1,0,0
